COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM
0693786R;Lyc Polyval Privé Des Metiers Jehanne De France;6 Rue De La Fraternelle;69009;Lyon 09
0560105K;Lyc Polyval Privé Des Metiers La Mennais;2 Rue General Dubreton;56801;Ploermel
0422158T;Lyc Polyval Privé Des Metiers La Salesienne;35 Rue De La Richelandiere;42100;St Etienne
0290186V;Lyc Polyval Privé Des Metiers Le Paraclet;35 Avenue Des Glenan;29018;Quimper
0860789R;Lyc Polyval Privé Des Metiers Le Porteau;62 Rue Du Porteau;86001;Poitiers
0350791V;Lyc Polyval Privé Des Metiers Marcel Callo;21 Avenue Etienne Gascon;35603;Redon
0772275E;Lyc Polyval Privé Des Metiers Maurice Rondeau;1 Place Du Clos Saint Georges;77600;Bussy St Georges
0560200N;Lyc Polyval Privé Des Metiers Notre Dame Le Menimur;71 Rue De Metz;56000;Vannes
0370749N;Lyc Polyval Privé Des Metiers Sainte Marguerite;86 Avenue De Grammont;37041;Tours
0860774Z;Lyc Polyval Privé Des Metiers St Jacques De Compostelle;2 Avenue De La Revolution;86036;Poitiers
0511146U;Lyc Polyval Privé Des Metiers St J-b De La Salle;20 Rue De Contrai;51066;Reims
0560181T;Lyc Polyval Privé Des Metiers St Joseph;42 Rue De Kerguestenen;56109;Lorient
0560198L;Lyc Polyval Privé Des Metiers St Joseph;39 Boulevard Des Iles;56010;Vannes
0341470N;Lyc Pr Tech Agric Hortic Paysa;Route De Pezenas;34150;Gignac
0332380H;Lyc Prof Horticole Ville De Bordeaux;Domaine De Bel Air Cedex 1052;33185;Le Haillan
0440980B;Lyc Techn Et General Agric Pr;Briace;44430;Le Landreau
0260074P;Lyc Technol Privé Des Metiers Montplaisir;75 Rue Montplaisir;26000;Valence
0731405F;Lyc Technol Privé Des Metiers Sainte Anne;39 Montee St Jean;73292;La Motte Servolex
0022022M;Lyc Technol Privé Des Metiers Sainte Sophie;22 Rue Curie;02110;Bohain En Vermandois
0331590Z;Lyc Technol Privé Des Metiers St Vincent De Paul;47 A 51 Rue Des Sablieres;33074;Bordeaux
0331556M;Lyc Technol Privé Des Metiers Ste Famille Saintonge;12 Rue De Saintonge;33023;Bordeaux
0260791U;Lyc.gen.tech.agricole De Romans Sur Isere;Route De Tain;26105;Romans Sur Isere
0561454B;Lycée Agric Et Horticole Privé De Kerplouz;Kerplouz;56404;Auray
0351047Y;Lycée Agric Et Horticole Privé La Lande Du Breil;Rue Fernand Robert;35042;Rennes
0801825Z;Lycée Agricole De La Haute Som;Rue De La Poste;80800;Ribemont Sur Ancre
0641547J;Lycée Agricole Pr St Christoph;Le Bourg;64310;St Pee Sur Nivelle
0120936C;Lycée Agricole Privé;Boulevard Penevayre;12200;Villefranche De Rouergue
0421676U;Lycée Agricole Privé;1 Rue Du Petit Lavoir;42450;Sury Le Comtal
0100734U;Lycée Agricole Privé;105 Route De Mery-sur-seine;10150;Ste Maure
0360686A;Lycée Agricole Privé;St Cyran Du Jambot;36700;St Cyran Du Jambot
0280944Z;Lycée Agricole Privé De Nermont;2 Rue De Nermont;28202;Chateaudun
0100891P;Lycée Agricole Privé Des Cordeliers;29 Rue Des Cordeliers;10700;Arcis Sur Aube
0421090G;Lycée Agricole Privé Etienne Gautier;Ressins;42720;Nandax
0080943G;Lycée Agricole Privé L.e.t.p.a.p;18 Rue Du Chateau;08260;Maubert Fontaine
0560858D;Lycée Agricole Privé La Touche;La Touche;56801;Ploermel
0241033T;Lycée Agricole Privé Le Cluzeau;Le Cluzeau;24240;Sigoules
0281101V;Lycée Agricole Privé Notre Dame (orph.app.auteuil);Chateau De Vaux;28240;La Loupe
0511645L;Lycée Agricole Privé Reims-thillois;4 Rue Des Ecoles;51370;Thillois
9741060J;Lycée Agricole Privé Sainte Suzanne;Chemin Des Trois Freres;97441;Ste Suzanne
0271382F;Lycée Agricole Privé Tourville Sur Pont-audemer;Route De Lisieux;27504;Pont Audemer
0721009F;Lycée Agricole Privé Val De Sarthe;Route Du Mans;72303;Sable Sur Sarthe
0641538Z;Lycée Agricole Rural Pr Ois;;64130;Mauleon Licharre
0131690S;Lycée Agricole Tech. Privé Institut De Fontlongue;Bd Theodore Aubanel;13148;Miramas
0631162W;Lycée Agro-environ Privé Saint Joseph;Chateau De Saint Quentin;63340;Le Breuil Sur Couze
0251477V;Lycée Agrotechnologique Privé Francois Xavier;5 Rue Du Chapitre;25000;Besancon
0380097Z;Lycée Climatique Et Sportif Jean Prevost;470 Rue De Tintaine;38250;Villard De Lans
0660057D;Lycée Climatique Et Sportif Pierre De Coubertin;5 Avenue Pierre De Coubertin;66120;Font Romeu Odeillo Via
0050004C;Lycée Climatique Honore Romane;Route De Caleyere;05202;Embrun
0650001Y;Lycée Climatique Rene Billeres;6 Avenue Marcel Lemettre;65402;Argeles Gazost
0390042J;Lycée Climatique Victor Considerant;Route D'ornans;39110;Salins Les Bains
0671636P;Lycée D'ens. General Et Techn. Ort;14 Rue Sellenick;67083;Strasbourg
0671685T;Lycée D'ens. General Et Technologique Agricole;44 Bld D'europe;67212;Obernai
0431000D;Lycée D'enseig. Agricole Privé Site De Vals De L'isvt;72 Avenue De Vals;43750;Vals Pres Le Puy
0520893N;Lycée D'enseignement Agricole Privé;Rue De La Motte;52220;Droyes
0021818R;Lycée D'enseignement Technolog Robert Schuman;10 Route D'ugny;02300;Chauny
0280947C;Lycée Ens Prof Agri Privé Du Perche;35 Rue De La Touche;28400;Nogent Le Rotrou
0180758B;Lycée Ens Prof Privé Agricole Bengy/lignieres;2 Rue Du Chanoine Volton;18520;Bengy Sur Craon
0180757A;Lycée Ens Prof Privé Agricole Site De Lignieres;10 Rue Raymond Chassagne;18160;Lignieres
0410855G;Lycée Ens Prof Rural Privé Boissay;;41120;Fougeres Sur Bievre
0360710B;Lycée Ens Prof Rural Privé De Lignac;Rue Alienor D Aquitaine;36370;Lignac
0410854F;Lycée Ens Prof Rural Privé Ste Cecile;12 Rue Saint Laurent;41800;Montoire Sur Le Loir
0190056H;Lycée Ens. General Privé Inst Jeanne D Arc;Rue Du Jardin Public;19400;Argentat
0230040U;Lycée Ens. General Privé Notre Dame;5 Av Du Docteur Manouvrier;23008;Gueret
0441787D;Lycée Ensei Agricole Privé Saint-exupery;9 Rue Pierre Landais;44430;Le Loroux Bottereau
0280967Z;Lycée Enseig Agricole Privé Efagrir;2 Rue Des Fleurs;28630;Mignieres
0561463L;Lycée Enseignement Agric Privé Sts Anges Kerlebost;St Thuriau;56306;Pontivy
0870864S;Lycée Enseignement General Pri St Jean;26 Rue Eugene Varlin;87016;Limoges
0400080V;Lycée Enseignement Prof. Jean Cassaigne;Avenue Kennedy;40280;St Pierre Du Mont
0781070P;Lycée Enseigt Privé Agricole Lepa Le Buat;21 Rue Du Buat;78580;Maule
0110984K;Lycée Enst Agricole Privé;8 Avenue Georges Clemenceau;11200;Lezignan Corbieres
0341477W;Lycée Enst Agricole Privé Bonne Terre;Route De Beziers;34120;Pezenas
0341474T;Lycée Enst Agricole Privé La Gardiole;2 Rue Du Couvent;34770;Gigean
0660631C;Lycée Enst Agricole Privé Le Mas Blanc;Av Emmanuel Brousse;66760;Bourg Madame
0341471P;Lycée Enst Agricole Privé Les Buissonnets;1 Avenue De Nissan;34310;Capestang
0480502K;Lycée Enst Agricole Privé Terre Nouvelle;2 Av Martyrs De La Resistance;48100;Marvejols
0301324B;Lycée Enst Prof Agric Privé;9 Route De Bezouce;30840;Meynes
0221676C;Lycée Enst Prof Agricole Privé Xavier Grall;8 Rue Lavergne;22605;Loudeac
0221680G;Lycée Enst Prof Privé Rural;La Guerche;22100;St Helen
0758513W;Lycée Etranger Privé Leonard De Vinci;12 Rue Sedillot;75007;Paris 07
0592922F;Lycée Europeen Privé Therese D'avila;254 Rue Nationale;59003;Lille
0791005N;Lycée Gen Et Tech Agricole;22 Rue De La Baritauderie;79302;Bressuire
0160006V;Lycée Gen Et Tech Agricole Angouleme-l Oisellerie;Logis De L'oisellerie;16400;La Couronne
0170087C;Lycée Gen Et Tech Agricole Georges Desclaude;Rue Georges Desclaude;17119;Saintes
0170393K;Lycée Gen Et Tech Agricole Ind.laitiere Agro-alimentaire;Avenue Francois Miterrand;17700;Surgeres
0791057V;Lycée Gen Et Tech Agricole Inst.rur.educ.orient.;47 Avenue De Poitiers;79170;Brioux Sur Boutonne
0790768F;Lycée Gen Et Tech Agricole Jacques Bujault;Route De La Roche;79500;Melle
0790706N;Lycée Gen Et Tech Agricole Les Sicaudieres;Boulevard De Nantes;79308;Bressuire
0491807Y;Lycée Gen Et Tech Agricole Pr La Verzee;1 Rue Du Chevalier D'avoynes;49520;Combree
0160980D;Lycée Gen Et Tech Agricole Roc Fleuri;6 Bd Des Grands Rocs;16700;Ruffec
0171265H;Lycée Gen Et Tech Agricole Saint Antoine;2 Allee Saint Antoine;17240;Bois
0860718N;Lycée Gen Et Tech Agricole Xavier Bernard;Venours;86480;Rouille
0331683A;Lycée Gen Et Techno Agricole;Avenue De La Republique;33430;Bazas
0470662P;Lycée Gen Et Techno Agricole;Route De Francescas;47600;Nerac
0780235G;Lycée Gen Et Technol Agricole Centre D Enseign Zootechnique;Parc Du Chateau;78120;Rambouillet
0290018M;Lycée Gen Et Technol Agricole De Brehoulou;Brehoulou;29170;Fouesnant
0290341N;Lycée Gen Et Technol Agricole De L'aulne;Rocade Du Parc De Bihan;29150;Chateaulin
0290126E;Lycée Gen Et Technol Agricole De Suscinio;Ploujean;29600;Morlaix
0120937D;Lycée Gen Et Technol Agricole Epla De Rodez;La Roque;12033;Rodez
0220470S;Lycée Gen Et Technol Agricole Kernilien;Plouisy;22204;Guingamp
0560013K;Lycée Gen Et Technol Agricole Le Gros Chene;;56308;Pontivy
0221031B;Lycée Gen Et Technol Agricole Public;6 Rue Du Porhoet;22230;Merdrignac
0350700W;Lycée Gen Et Technol Agricole Theodore Monod;55 Avenue De La Bouvardiere;35651;Le Rheu
0290181P;Lycée Gen Et Technol Privé Brest - Rive Droite - Javouhey;4 Rue Des Remparts;29238;Brest
0220094H;Lycée Gen Et Technol Privé Cordeliers-n-d De La Victoire;1 Place Des Cordeliers;22102;Dinan
0220102S;Lycée Gen Et Technol Privé Jacques Bossuet;4 Rue De La Bienfaisance;22304;Lannion
0220106W;Lycée Gen Et Technol Privé Jean Xxiii;1 Rue Du Seminaire;22800;Quintin
0290335G;Lycée Gen Et Technol Privé La Croix Rouge;2 Rue Mirabeau;29229;Brest
0290170C;Lycée Gen Et Technol Privé Le Likes;20 Place De La Tourbie;29196;Quimper
0290177K;Lycée Gen Et Technol Privé Nd Du Kreisker;2 Rue Cadiou;29250;St Pol De Leon
0220097L;Lycée Gen Et Technol Privé Notre Dame;21 Rue Des Capucins;22205;Guingamp
0220107X;Lycée Gen Et Technol Privé Notre Dame De Campostal;5 Place Du Bourg Coz;22110;Rostrenen
0350769W;Lycée Gen Et Technol Privé Notre Dame Des Marais;9 Bis Rue Eugene Pacory;35304;Fougeres
0290164W;Lycée Gen Et Technol Privé Notre Dame Du Mur;10 Rue Guy Le Normand;29671;Morlaix
0560098C;Lycée Gen Et Technol Privé Notre Dame Du Voeu;Rue Du Champ De Foire;56704;Hennebont
0950759J;Lycée Gen Et Technol Privé Notre-dame De Bury;1 Av Georges Pompidou;95580;Margency
0920928J;Lycée Gen Et Technol Privé Passy Buzenval;50 Avenue Otis Mygatt;92508;Rueil Malmaison
0910808J;Lycée Gen Et Technol Privé St Charles;2 Rue G.anthonioz De Gaulle;91200;Athis Mons
0781974X;Lycée Gen Et Technol Privé St Exupery;11 Rue Michael Faraday;78180;Montigny Le Bretonneux
0221589H;Lycée Gen Et Technol Privé St Joseph;42 Rue De La Cheze;22600;Loudeac
0291654R;Lycée Gen Et Technol Privé St Joseph;61 Rue Bayard;29187;Concarneau
0290156M;Lycée Gen Et Technol Privé St Louis;63 Grand'rue;29150;Chateaulin
0560101F;Lycée Gen Et Technol Privé St Louis;5 Rue Perault;56102;Lorient
0350777E;Lycée Gen Et Technol Privé St Martin;31 Rue D'antrain;35706;Rennes
0950762M;Lycée Gen Et Technol Privé St Martin De France;1 Avenue De Verdun;95300;Pontoise
0560117Y;Lycée Gen Et Technol Privé St Paul;12 Allee Gabriel Deshayes;56017;Vannes
0220111B;Lycée Gen Et Technol Privé St Pierre;16 Rue St Pierre;22015;St Brieuc
0350774B;Lycée Gen Et Technol Privé St Sauveur;16 Place St Sauveur;35603;Redon
0290159R;Lycée Gen Et Technol Privé St Sebastien;4 Rue H De Guebriant;29208;Landerneau
0350783L;Lycée Gen Et Technol Privé Ste Genevieve;14 Rue Ginguene;35006;Rennes
0560096A;Lycée Gen Et Technol Privé Ste Jeanne D'arc;2 Rue Penantraon;56110;Gourin
0290171D;Lycée Gen Et Technol Privé Ste Therese;56 Avenue De Remscheid;29337;Quimper
0920937U;Lycée Gen Et Technol Privé Suger;11 Sente De L Abbe Suger;92420;Vaucresson
0470019R;Lycée Gen Et Technol.agricole Etienne Restat;Route De Casseneuil;47110;Ste Livrade Sur Lot
0594278E;Lycée Gen. Et Tech. Privé Lycée E.p.i.d.;20 Rue De Lille;59140;Dunkerque
0381817U;Lycée Gen. Et Tech.agricole Grenoble St-ismier;1 Chemin Charvinieres;38332;St Ismier
0271107G;Lycée Gen. Et Techn. Agricole;6 Rue Georges Politzer;27032;Evreux
0271016H;Lycée Gen. Et Techn. Agricole De Chambray;Gouville;27240;Gouville
0500116E;Lycée Gen. Et Technol. Privé Germain;73 Rue D'ilkley;50208;Coutances
0520679F;Lycée Gen. Et Technol. Privé Immaculee Conception;1 Bis Rue Du Mal De Lattre;52115;St Dizier
0500112A;Lycée Gen. Et Technol. Privé Notre Dame De La Providence;9 Rue Du Chanoine Beranger;50303;Avranches
0070069M;Lycée Gen. Et Technol. Privé Sacre Coeur - Notre Dame;6 Boulevard De Vernon;07000;Privas
0730763H;Lycée Gen. Et Technol. Privé Saint Ambroise;2 Rue Burdin;73025;Chambery
0370737A;Lycée Gen. Et Technol. Privé Saint Denis;19 Av Du Gal De Gaulle;37601;Loches
0141164P;Lycée Gen. Et Technol. Privé Sainte Marie;8 Avenue De La Croix Guerin;14000;Caen
0070066J;Lycée Gen. Et Technol. Privé Vernet;21 Avenue Notre Dame;07700;Bourg St Andeol
0212082Z;Lycée Gen.et Tech. Agricole;7 Rue Du Champ De Foire;21140;Semur En Auxois
0460727R;Lycée Gen.et Tech. Agricole;;46120;Lacapelle Marival
0861392W;Lycée Gen.et Tech. Agricole Annexe Du Lycée De Venours;45 Avenue Maurice Bailly;86400;Civray
0480514Y;Lycée Gen.et Tech. Agricole Francois Rabelais;Civergols;48200;St Chely D Apcher
0050012L;Lycée Gen.et Tech. Agricole Hautes-alpes (des);Les Emeyeres 127 Rte Valserres;05000;Gap
0480657D;Lycée Gen.et Tech. Agricole Louis Pasteur;Chemin Du Fraissinet;48500;La Canourgue
0900246D;Lycée Gen.et Tech. Agricole Lucien Quelet;95 Rue De Turenne;90300;Valdoie
0030094L;Lycée Gen.et Tech. Agricole Tourret;Neuville;03000;Neuvy
0530081A;Lycée Gen.et Tech.agricole;321 Route De St Nazaire;53013;Laval
0850151C;Lycée Gen.et Tech.agricole Bel Air;1 Boulevard Hoche;85205;Fontenay Le Comte
0771436T;Lycée Gen.et Tech.agricole Bougainville;Domaine De Sansalle Rn 19;77257;Brie Comte Robert
0442061B;Lycée Gen.et Tech.agricole Jules Rieffel;5 Rue De La Syonniere;44817;St Herblain
0720010V;Lycée Gen.et Tech.agricole La Germiniere;;72700;Rouillon
0850152D;Lycée Gen.et Tech.agricole Lucon-petre;;85400;Ste Gemme La Plaine
0850144V;Lycée Gen.et Tech.prof.agricol Lycée Nature;Allee Des Druides;85035;La Roche Sur Yon
0890851S;Lycée Gen.et Techn.agricole Annexe;3 Rte De Champcevrais;89350;Champignelles
0741219Y;Lycée Gen.et Techn.agricole H.b.de Saussure;;74920;Combloux
0601700X;Lycée Gen.et Technol Privé Sevigne;20 Rue De La Sous Prefecture;60200;Compiegne
0382373Y;Lycée Gen.et Technol. Agricole Du Guiers Val D'ainan;6 Place Du Marche;38480;Le Pont De Beauvoisin
0740082M;Lycée Gen.et Technol. Privé Saint Michel;27 Faubourg Des Balmettes;74007;Annecy
0230030H;Lycée Gen.et Technol.agricole;Le Chaussadis;23150;Ahun
0421088E;Lycée Gen.et Technol.agricole;Le Bourg;42600;Precieux
0640220S;Lycée Gen.et Technol.agricole;Route De Pau;64121;Montardon
0690279D;Lycée Gen.et Technol.agricole;234 Route De Charly;69230;St Genis Laval
0711067Z;Lycée Gen.et Technol.agricole;Poncetys;71960;Davaye
0080863V;Lycée Gen.et Technol.agricole;27 Rue Du Muguet;08090;St Laurent
0180636U;Lycée Gen.et Technol.agricole;Route De Barlieu;18260;Vailly Sur Sauldre
0331424U;Lycée Gen.et Technol.agricole;84 Av Du General De Gaulle;33294;Blanquefort
0381819W;Lycée Gen.et Technol.agricole;57 Avenue Charles De Gaulle;38260;La Cote St Andre
0400750Y;Lycée Gen.et Technol.agricole;Heugas;40180;Heugas
0501213X;Lycée Gen.et Technol.agricole;Route De Montmartin;50200;Coutances
0601782L;Lycée Gen.et Technol.agricole;;60600;Airion
0610790C;Lycée Gen.et Technol.agricole;Rue Du 11 Novembre 1918;61500;Sees
0680003J;Lycée Gen.et Technol.agricole;8 Aux Remparts;68250;Rouffach
0711068A;Lycée Gen.et Technol.agricole;10 Lieu Dit La Platiere;71150;Fontaines
0820559M;Lycée Gen.et Technol.agricole;Dom Capou 1915 Rte De Bordeaux;82000;Montauban
0881070K;Lycée Gen.et Technol.agricole;Avenue De Lattre De Tassigny;88500;Mirecourt
0060793E;Lycée Gen.et Technol.agricole Agricole Et Horticole;1285 Avenue Jules Grec;06600;Antibes
0830077H;Lycée Gen.et Technol.agricole Agricole Et Horticole;Carrefour Du Lycée;83408;Hyeres
0381886U;Lycée Gen.et Technol.agricole Agrotec;Montee Bon Accueil;38206;Vienne
0890045R;Lycée Gen.et Technol.agricole Auxerre-la-brosse;La Brosse;89290;Venoy
0320039U;Lycée Gen.et Technol.agricole Beaulieu-lavacant;Route De Tarbes;32020;Auch
0251263M;Lycée Gen.et Technol.agricole Besancon Granvelle;2 Rue Des Chanets;25410;Dannemarie Sur Crete
0190244M;Lycée Gen.et Technol.agricole Brive-objat;23 Rue Murat;19130;Voutezac
0593395V;Lycée Gen.et Technol.agricole Communaute Urbaine De Lille;Rue De La Mitterie;59463;Lille
9710804X;Lycée Gen.et Technol.agricole Convenance;Convenance;97122;Baie Mahault
9720616M;Lycée Gen.et Technol.agricole Croix Rivail;Croix Rivail;97232;Le Lamentin
0511196Y;Lycée Gen.et Technol.agricole De Chalons En Champagne;;51460;Somme Vesle
0020060E;Lycée Gen.et Technol.agricole De Crezancy;1 Rue De Paris;02650;Crezancy
0730813M;Lycée Gen.et Technol.agricole De La Motte Servolex;Domaine Reinach;73290;La Motte Servolex
0080804F;Lycée Gen.et Technol.agricole De Rethel;Route De Novion;08300;Rethel
0211135V;Lycée Gen.et Technol.agricole Dijon-quetigny;21 Bd Olivier De Serres;21800;Quetigny
0593255T;Lycée Gen.et Technol.agricole Du Nord;458 Rue De La Motte Julien;59507;Douai
0622257S;Lycée Gen.et Technol.agricole Du Pas-de-calais;Route De Cambrai;62217;Tilloy Les Mofflaines
0681222J;Lycée Gen.et Technol.agricole Du Pflixbourg;2 Lieu Dit Saint Gilles;68920;Wintzenheim
0251202W;Lycée Gen.et Technol.agricole Ecole D'industrie Laitiere;Grande Rue;25620;Mamirolle
0390812W;Lycée Gen.et Technol.agricole Ecole D'industrie Laitiere;Rue De Versailles;39801;Poligny
0390810U;Lycée Gen.et Technol.agricole Edgar Faure;614 Avenue Edgar Faure;39570;Montmorot
0010059J;Lycée Gen.et Technol.agricole Edouard Herriot;Domaine De Cibeins;01600;Miserieux
9740078S;Lycée Gen.et Technol.agricole Emile Boyer De La Giroday;165 Route De Mafate;97460;St Paul
0810121S;Lycée Gen.et Technol.agricole Epla D Albi;Fonlabour Route De Toulouse;81000;Albi
0312354R;Lycée Gen.et Technol.agricole Epla D Ondes;Rue Castelnau;31330;Ondes
0460490H;Lycée Gen.et Technol.agricole Epla De Figeac;La Vinadie;46100;Figeac
0090022A;Lycée Gen.et Technol.agricole Epla De Pamiers;Route De Belpech;09100;Pamiers
0311262D;Lycée Gen.et Technol.agricole Epla De Toulouse Auzeville;2 Rte De Narbonne;31326;Castanet Tolosan
0120621K;Lycée Gen.et Technol.agricole Epla Villefranche De Rouergue;Beauregard Cote Mas De Bonnet;12204;Villefranche De Rouergue
0240023V;Lycée Gen.et Technol.agricole Et Agro-alimentaire;Avenue Winston Churchill;24660;Coulounieix Chamiers
0700827U;Lycée Gen.et Technol.agricole Etienne Munier;Le Grand Montmarin;70014;Vesoul
0660699B;Lycée Gen.et Technol.agricole Federico Garcia Lorca;Route Nationale 114;66200;Theza
0100687T;Lycée Gen.et Technol.agricole Forestier De Crogny;Rue Des Etangs;10210;Les Loges Margueron
0740927F;Lycée Gen.et Technol.agricole Industrie Laitiere;;74805;La Roche Sur Foron
0623277A;Lycée Gen.et Technol.agricole Institut Agricole Saint Eloi;36 Rue Marcellin Gaudefroy;62452;Bapaume
0650139Y;Lycée Gen.et Technol.agricole Jean Monnet Epla Vic-en-big;11 Bis Promenade Des Acacias;65500;Vic En Bigorre
0211217J;Lycée Gen.et Technol.agricole La Barotte;La Barotte Rte De Langres;21403;Chatillon Sur Seine
0690250X;Lycée Gen.et Technol.agricole La Bruyere;26 Chemin De La Bruyere;69570;Dardilly
0450094H;Lycée Gen.et Technol.agricole Le Chesnoy;Le Chesnoy;45200;Amilly
0801272Y;Lycée Gen.et Technol.agricole Le Paraclet;Le Paraclet Route De Cottenchy;80440;Boves
0260765R;Lycée Gen.et Technol.agricole Le Valentin;Route Nationale 7;26500;Bourg Les Valence
0180585N;Lycée Gen.et Technol.agricole Legta;Rue Theophile Gauthier;18028;Bourges
0280706R;Lycée Gen.et Technol.agricole Legta;La Saussaye;28630;Sours
0360017Y;Lycée Gen.et Technol.agricole Legta;Route De Velles;36018;Chateauroux
0360600G;Lycée Gen.et Technol.agricole Legta;16 Rue H De Latouche;36400;La Chatre
0370781Y;Lycée Gen.et Technol.agricole Legta;La Petite Plaine;37230;Fondettes
0410018X;Lycée Gen.et Technol.agricole Legta;Rue De La Valle Du Loir;41106;Vendome
0451535Z;Lycée Gen.et Technol.agricole Les Barres;Les Barres;45290;Nogent Sur Vernisson
0010819K;Lycée Gen.et Technol.agricole Les Sardieres;79 Avenue De Jasseron;01000;Bourg En Bresse
0570112M;Lycée Gen.et Technol.agricole Lycée Agricole Departemental;40 Route De Strasbourg;57170;Chateau Salins
0570086J;Lycée Gen.et Technol.agricole Metz-courcelles-chaussy;1 3 Av D Urville;57530;Courcelles Chaussy
0331863W;Lycée Gen.et Technol.agricole Montagne;Le Bourg;33570;Montagne
0541207U;Lycée Gen.et Technol.agricole Nancy-pixerecourt;Pixerecourt;54220;Malzeville
0071125K;Lycée Gen.et Technol.agricole Olivier De Serres;;07205;Aubenas
0550752U;Lycée Gen.et Technol.agricole Philippe De Vilmorin;Chemin De Popey;55000;Bar Le Duc
0623723K;Lycée Gen.et Technol.agricole Radinghem;Rue Neuve;62310;Radinghem
0421078U;Lycée Gen.et Technol.agricole Roanne-cherve;;42120;Perreux
6200190M;Lycée Gen.et Technol.agricole Sartene;Route De Levie;20100;Sartene
0500060U;Lycée Gen.et Technol.agricole St Lo There;;50620;Le Hommet D Arthenay
0950786N;Lycée Gen.et Technol.prive St Rosaire;53 Rue Pierre Brossolette;95200;Sarcelles
9830504F;Lycée Gen.et Technol.prive Apollinaire Anova (ddec);24 C Rte Bretelle Savexpress;98890;Paita
0690539L;Lycée Gen.et Technol.prive Assomption Bellevue;39 Quai Jean Jacques Rousseau;69350;La Mulatiere
0690522T;Lycée Gen.et Technol.prive Aux Lazaristes;24 Montee Saint Barthelemy;69321;Lyon 05
0940822H;Lycée Gen.et Technol.prive Batiment Et Travaux Publics;18 Rue De Belfort;94307;Vincennes
0880099E;Lycée Gen.et Technol.prive Beau Jardin;9 Rue Du Beau Jardin;88104;St Die Des Vosges
0870081R;Lycée Gen.et Technol.prive Beaupeyrat;9 Ter Rue Petiniaud Beaupeyrat;87036;Limoges
0300077W;Lycée Gen.et Technol.prive Bellevue;14 Rue Alfred De Musset;30100;Ales
0690536H;Lycée Gen.et Technol.prive Belmont-capdepon;43 Rue Pasteur;69007;Lyon 07
0641907A;Lycée Gen.et Technol.prive Bernat Etxepare;12 Bis Av Mounede;64100;Bayonne
9830261S;Lycée Gen.et Technol.prive Blaise Pascal (ddec);22 Rue B. Pascal A. Vata;98807;Noumea
0783282U;Lycée Gen.et Technol.prive Blanche De Castille;1 Avenue De La Breteche;78150;Le Chesnay
0772324H;Lycée Gen.et Technol.prive Campus Sainte Therese;Av Erasme - Rond Pt De L'europe;77330;Ozoir La Ferriere
9741256X;Lycée Gen.et Technol.prive Catholique Levavasseur;4 Rue Fenelon;97400;St Denis
0442083A;Lycée Gen.et Technol.prive Cens;La Joneliere;44244;La Chapelle Sur Erdre
0430056C;Lycée Gen.et Technol.prive Cevenol;;43400;Le Chambon Sur Lignon
0490952U;Lycée Gen.et Technol.prive Champ Blanc;Champ Blanc;49710;Le Longeron
0691654Y;Lycée Gen.et Technol.prive Champagnat;250 Rue Chanoine Pavailler;69590;St Symphorien Sur Coise
0542408Z;Lycée Gen.et Technol.prive Charles De Foucauld;1 Rue Jeannot;54000;Nancy
0690514J;Lycée Gen.et Technol.prive Charles De Foucauld;6 Rue Bara;69003;Lyon 03
0754086J;Lycée Gen.et Technol.prive Charles De Foucauld;5 Rue De La Madone;75018;Paris 18
0753890W;Lycée Gen.et Technol.prive Charles Peguy;54 Avenue De La Republique;75011;Paris 11
0530049R;Lycée Gen.et Technol.prive D'avesnieres;51 Rue D Avesnieres;53012;Laval
0441982R;Lycée Gen.et Technol.prive De Bretagne;15 Rue Du Landreau;44300;Nantes
0570311D;Lycée Gen.et Technol.prive De La Salle;2 Rue St Maximin;57070;Metz
0690542P;Lycée Gen.et Technol.prive Des Chassagnes;13 Chemin Des Chassagnes;69600;Oullins
0541309E;Lycée Gen.et Technol.prive Des Recollets;44 Rue Du General Pershing;54400;Longwy
0060773H;Lycée Gen.et Technol.prive Don Bosco;40 Place Don Bosco;06046;Nice
0211068X;Lycée Gen.et Technol.prive Du Saint Coeur;3 Rue Du Faubourg St Nicolas;21200;Beaune
0672050P;Lycée Gen.et Technol.prive Ecole Commerciale Privée;19 Rue De Wissembourg;67000;Strasbourg
0300080Z;Lycée Gen.et Technol.prive Emmanuel D Alzon;11 Rue Sainte Perpetue;30020;Nimes
0010069V;Lycée Gen.et Technol.prive Ensemble Scolaire Lamartine;41 Rue Georges Girerd;01302;Belley
0941719H;Lycée Gen.et Technol.prive Epin;19 Avenue Eugene Pelletan;94400;Vitry Sur Seine
9730010Y;Lycée Gen.et Technol.prive Externat Saint Joseph;15 Rue Lallouette;97326;Cayenne
0690521S;Lycée Gen.et Technol.prive Externat Sainte Marie;4 Montee Saint Barthelemy;69321;Lyon 05
0060674A;Lycée Gen.et Technol.prive Fenelon;7 Avenue Yves Emmanuel Baudouin;06130;Grasse
0761708U;Lycée Gen.et Technol.prive Fenelon;2 Rue D'alsace;76501;Elbeuf
0932036H;Lycée Gen.et Technol.prive Francoise Cabrini;20 Rue Du Docteur Sureau;93167;Noisy Le Grand
0593007Y;Lycée Gen.et Technol.prive Frederic Ozanam;50 Rue Saint Gabriel;59045;Lille
