COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM
0590257J;Lycée Professionnel Ile De Flandre;246 Bis Quai De La Derivation;59427;Armentieres
0595480L;Lycée Professionnel Ile Jeanty;Rue Auguste Waeteraere;59140;Dunkerque
0330089T;Lycée Professionnel Indust.et Hotel.j.monnet;40 Avenue Henri Brulle;33506;Libourne
0950658Z;Lycée Professionnel Industriel Chateau D Epluches;45 Avenue Du Chateau;95310;St Ouen L Aumone
0340088L;Lycée Professionnel Irene Et Frederic Joliot Curie;19 Boulevard Joliot Curie;34200;Sete
0090543S;Lycée Professionnel Irenee Cros;2 Avenue De L'ariege;09103;Pamiers
0880023X;Lycée Professionnel Isabelle Viviani;75 Rue De Remiremont;88020;Epinal
9740921H;Lycée Professionnel Isnelle Amelin;Rue Marcel Goulette Duparc;97438;Ste Marie
0801252B;Lycée Professionnel J C Athanase Peltier;8 Avenue Jean Moulin;80400;Ham
0070002P;Lycée Professionnel J Et E Montgolfier;17 Rue Du Capitaine De Canson;07100;Annonay
0420073B;Lycée Professionnel Jacob Holtzer;5 Rue Michelet;42704;Firminy
0760006U;Lycée Professionnel Jacquard;2 Rue Antoine Bourdelle;76360;Barentin
0880057J;Lycée Professionnel Jacques Augustin;20 Rue Du Nouvel Hopital;88100;St Die Des Vosges
0692718E;Lycée Professionnel Jacques Brel;7 Avenue D'oschatz;69200;Venissieux
0180042Y;Lycée Professionnel Jacques Coeur;108 Rue Jean Baffier;18026;Bourges
0470029B;Lycée Professionnel Jacques De Romas;Route De Mezin;47600;Nerac
0060002V;Lycée Professionnel Jacques Dolle;120 Chemin De Saint Claude;06600;Antibes
0620162P;Lycée Professionnel Jacques Durand;9 Rue Monsigny;62505;St Omer
0620011A;Lycée Professionnel Jacques Le Caron;61 Avenue De L'hippodrome;62000;Arras
0380023U;Lycée Professionnel Jacques Prevert;9 Rue La Republique;38601;Fontaine
0390015E;Lycée Professionnel Jacques Prevert;31 Place Barberousse;39107;Dole
0782603F;Lycée Professionnel Jacques Prevert;88 Avenue Des Etats Unis;78000;Versailles
0590249A;Lycée Professionnel Jacques-yves Cousteau;27 Rue Pasteur;59290;Wasquehal
0620037D;Lycée Professionnel Jan Lavezzari;15 Avenue Du Phare;62602;Berck
0380037J;Lycée Professionnel Jean Jaures;5 Rue Ancien Champ De Mars;38000;Grenoble
0160862A;Lycée Professionnel Jean Albert Gregoire;Rue Jean Albert Gregoire;16800;Soyaux
0130064Z;Lycée Professionnel Jean Baptiste Brochier;9 Bd Mireille Lauze;13010;Marseille 10
0870051H;Lycée Professionnel Jean Baptiste Darnet;28 Avenue De Perigueux;87500;St Yrieix La Perche
0820039X;Lycée Professionnel Jean Baylet;20 Avenue Du Marechal Leclerc;82403;Valence
0490058X;Lycée Professionnel Jean Bertin;25 Rue Marceau;49401;Saumur
0160036C;Lycée Professionnel Jean Caillaud;Cite Scolaire De Puyguillen;16600;Ruelle Sur Touvre
0240007C;Lycée Professionnel Jean Capelle;Av Marechal Leclerc;24108;Bergerac
0290072W;Lycée Professionnel Jean Chaptal;35 Chemin Des Justices;29191;Quimper
0371123V;Lycée Professionnel Jean Chaptal;Rue Du Clos Des Gardes;37400;Amboise
0400047J;Lycée Professionnel Jean D Arcet;1 Place Ste Quitterie;40801;Aire Sur L Adour
0450750W;Lycée Professionnel Jean De La Taille;Allee De Burglengenfeld;45300;Pithiviers
0820700R;Lycée Professionnel Jean De Prades;Route De Toulouse;82102;Castelsarrasin
0090003E;Lycée Professionnel Jean Durroux;1 Et 3 Avenue Jean Durroux;09000;Ferrieres Sur Ariege
0280700J;Lycée Professionnel Jean Felix Paulsen;1 Boulevard Du 8 Mai 1945;28205;Chateaudun
0670129B;Lycée Professionnel Jean Geiler;14 Rue Des Bateliers;67064;Strasbourg
0350761M;Lycée Professionnel Jean Guehenno;3 Promenade Du Gue Maheu;35305;Fougeres
0560053D;Lycée Professionnel Jean Guehenno;79 Avenue De La Marne;56017;Vannes
0610049X;Lycée Professionnel Jean Guehenno;16 Rue Pierre Huet;61105;Flers
0541283B;Lycée Professionnel Jean Hanzelet;Place De Trey;54701;Pont A Mousson
0440310Y;Lycée Professionnel Jean Jacques Audubon;10 Boulevard Paul Langevin;44220;Coueron
0230003D;Lycée Professionnel Jean Jaures;38 Rue Jean Jaures;23200;Aubusson
0350031U;Lycée Professionnel Jean Jaures;24 Rue Victor Rault;35205;Rennes
0141599M;Lycée Professionnel Jean Jooris;1 Rue Salvador Allende;14162;Dives Sur Mer
0132211H;Lycée Professionnel Jean Lurcat;Chemin De St Macaire;13693;Martigues
0451067R;Lycée Professionnel Jean Lurcat;4 Rue Du Perron;45401;Fleury Les Aubrais
0690045Z;Lycée Professionnel Jean Lurcat;4 Rue Ludovic Arrachart;69008;Lyon 08
0572075W;Lycée Professionnel Jean Mace;58 Avenue Jean Mermoz;57290;Fameck
0941232D;Lycée Professionnel Jean Mace;103 Rue Mirabeau;94600;Choisy Le Roi
0541605B;Lycée Professionnel Jean Marc Reiser;1 Rue Du Stade;54810;Longlaville
9730094P;Lycée Professionnel Jean Marie Michotte;Boulevard De La Republique;97305;Cayenne
0142178S;Lycée Professionnel Jean Mermoz;1 Rue Georges Fauvel;14504;Vire
0150036H;Lycée Professionnel Jean Mermoz;10 Rue Du Docteur Chibret;15005;Aurillac
0180010N;Lycée Professionnel Jean Mermoz;Allee Des Colleges;18028;Bourges
0340012D;Lycée Professionnel Jean Mermoz;25 Rue Ferdinand De Lesseps;34500;Beziers
0950949R;Lycée Professionnel Jean Mermoz;21 Rue Emile Combres;95560;Montsoult
0020022N;Lycée Professionnel Jean Monnet;22 Rue D Aboville;02800;La Fere
0030060Z;Lycée Professionnel Jean Monnet;39 Place Jules Ferry;03401;Yzeure
0220075M;Lycée Professionnel Jean Monnet;9 Rue Des Ursulines;22800;Quintin
0470782V;Lycée Professionnel Jean Monnet;Rue Marcel Pagnol;47510;Foulayronnes
0541816F;Lycée Professionnel Jean Monnet;8 Rue St Don;54110;Dombasle Sur Meurthe
0590124P;Lycée Professionnel Jean Monnet;111 Avenue De Dunkerque;59042;Lille
0910631S;Lycée Professionnel Jean Monnet;51 Ave Du Gal De Gaulle;91260;Juvisy Sur Orge
